IP,CPU,In Errors,Out Errors
192.168.122.2,1.0,0.0,0.0
192.168.122.2,1.0,0.0,0.0
192.168.122.2,1.0,0.0,0.0
192.168.122.2,1.0,0.0,0.0
192.168.122.2,1.0,0.0,0.0
192.168.122.2,1.0,0.0,0.0
192.168.122.2,0.0,0.0,0.0
192.168.122.2,0.0,0.0,0.0
192.168.122.2,0.0,0.0,0.0
192.168.122.2,0.0,0.0,0.0
192.168.122.2,0.0,0.0,0.0
192.168.122.2,0.0,0.0,0.0
192.168.122.2,1.0,0.0,0.0
192.168.122.2,0.0,0.0,0.0
192.168.122.2,0.0,0.0,0.0
192.168.122.2,0.0,0.0,0.0
192.168.122.2,0.0,0.0,0.0
192.168.122.2,1.0,0.0,0.0
192.168.122.2,1.0,0.0,0.0
192.168.122.2,1.0,0.0,0.0
192.168.122.2,1.0,0.0,0.0
192.168.122.2,1.0,0.0,0.0
192.168.122.2,1.0,0.0,0.0
192.168.122.2,1.0,0.0,0.0
192.168.122.3,1.0,0.0,0.0
192.168.122.4,0.0,0.0,0.0
192.168.122.2,1.0,0.0,0.0
192.168.122.3,1.0,0.0,0.0
192.168.122.4,0.0,0.0,0.0
192.168.122.2,1.0,0.0,0.0
192.168.122.3,1.0,0.0,0.0
192.168.122.4,0.0,0.0,0.0
192.168.122.2,1.0,0.0,0.0
192.168.122.3,1.0,0.0,0.0
192.168.122.4,0.0,0.0,0.0
192.168.122.2,1.0,0.0,0.0
192.168.122.3,1.0,0.0,0.0
192.168.122.4,0.0,0.0,0.0
